doseg_[km],poraba_[kWh/100km],kapaciteta_[kWh],cas_polnjenja[min/100km],pospesek(0-100km/h)_[s],cena_[EUR],drzava,leto,znamka,model,link
525.0,17.3,90.6,8,6.4,70626,Nemčija,2022,Mercedes-Benz,EQE 350+,https://bestev4me.eu/ev-catalog/1538/mercedes-benz-eqe-350-2022
525.0,20.2,106.0,9,5.6,89550,Nemčija,2022,Audi,Q8 Sportback e-tron 55 quattro,https://bestev4me.eu/ev-catalog/1772/audi-q8-sportback-e-tron-55-quattro-2022
525.0,18.3,96.0,5,3.3,60450,Kitajska,2026,Zeekr,7GT Privilege AWD,https://bestev4me.eu/ev-catalog/3430/zeekr-7gt-privilege-awd-2026
525.0,14.3,75.0,8,4.4,49990,ZDA,2023,Tesla,Model 3 Long Range AWD,https://bestev4me.eu/ev-catalog/1992/tesla-model-3-long-range-awd-2023
525.0,17.0,89.0,10,7.3,67187,Nemčija,2023,Mercedes-Benz,EQE 300,https://bestev4me.eu/ev-catalog/1897/mercedes-benz-eqe-300-2023
525.0,18.5,97.0,5,2.5,160500,Nemčija,2024,Audi,RS e-tron GT performance,https://bestev4me.eu/ev-catalog/2221/audi-rs-e-tron-gt-performance-2024
525.0,18.5,97.0,5,2.8,147500,Nemčija,2024,Audi,RS e-tron GT,https://bestev4me.eu/ev-catalog/2220/audi-rs-e-tron-gt-2024
525.0,15.5,81.3,8,5.6,60600,Nemčija,2025,BMW,i4 eDrive40,https://bestev4me.eu/ev-catalog/3205/bmw-i4-edrive40-2025
525.0,18.5,97.0,5,2.4,209900,Nemčija,2024,Porsche,Taycan Turbo S,https://bestev4me.eu/ev-catalog/2103/porsche-taycan-turbo-s-2024
525.0,20.8,109.1,9,4.6,99900,Nemčija,2025,BMW,iX xDrive60,https://bestev4me.eu/ev-catalog/3110/bmw-ix-xdrive60-2025
525.0,17.0,89.0,10,6.9,67187,Nemčija,2025,Mercedes-Benz,EQE 300,https://bestev4me.eu/ev-catalog/3239/mercedes-benz-eqe-300-2025
525.0,16.4,86.0,8,6.6,59095,Nemčija,2025,Volkswagen,ID.7 Pro S,https://bestev4me.eu/ev-catalog/3257/volkswagen-id7-pro-s-2025
525.0,16.4,86.0,8,6.6,59495,Nemčija,2026,Volkswagen,ID.7 86 kWh,https://bestev4me.eu/ev-catalog/3600/volkswagen-id7-86-kwh-2026
520.0,16.5,86.0,8,6.7,59785,Nemčija,2024,Volkswagen,ID.7 Tourer Pro S,https://bestev4me.eu/ev-catalog/2119/volkswagen-id7-tourer-pro-s-2024
520.0,16.5,86.0,8,6.6,60295,Nemčija,2026,Volkswagen,ID.7 Tourer 86 kWh,https://bestev4me.eu/ev-catalog/3604/volkswagen-id7-tourer-86-kwh-2026
520.0,19.0,98.9,4,4.2,107990,Združeno kraljestvo,2025,Lotus,Emeya 600,https://bestev4me.eu/ev-catalog/3214/lotus-emeya-600-2025
520.0,19.6,101.7,9,5.5,115700,Nemčija,2023,BMW,i7 eDrive50,https://bestev4me.eu/ev-catalog/1905/bmw-i7-edrive50-2023
520.0,20.8,108.0,5,4.8,105200,Nemčija,2025,Porsche,Cayenne Electric,https://bestev4me.eu/ev-catalog/3398/porsche-cayenne-electric-2025
520.0,19.0,98.9,4,4.2,126950,Združeno kraljestvo,2024,Lotus,Emeya S,https://bestev4me.eu/ev-catalog/2142/lotus-emeya-s-2024
520.0,22.1,115.0,8,8.9,82260,Nemčija,2026,Mercedes-Benz,VLE 300,https://bestev4me.eu/ev-catalog/3519/mercedes-benz-vle-300-2026
520.0,20.8,108.0,5,3.8,126400,Nemčija,2026,Porsche,Cayenne S Electric,https://bestev4me.eu/ev-catalog/3486/porsche-cayenne-s-electric-2026
520.0,20.8,108.0,5,2.5,168500,Nemčija,2026,Porsche,Cayenne Turbo Coupé Electric,https://bestev4me.eu/ev-catalog/3562/porsche-cayenne-turbo-coupe-electric-2026
520.0,15.4,80.0,5,5.1,61550,Južna Koreja,2026,Hyundai,IONIQ 6 84 kWh AWD,https://bestev4me.eu/ev-catalog/3440/hyundai-ioniq-6-84-kwh-awd-2026
520.0,19.0,98.9,4,4.2,106400,Združeno kraljestvo,2024,Lotus,Emeya,https://bestev4me.eu/ev-catalog/2141/lotus-emeya-2024
520.0,16.5,86.0,8,6.7,59895,Nemčija,2025,Volkswagen,ID.7 Tourer Pro S,https://bestev4me.eu/ev-catalog/3260/volkswagen-id7-tourer-pro-s-2025
515.0,17.6,90.6,8,6.3,74149,Nemčija,2024,Mercedes-Benz,EQE 350 4MATIC,https://bestev4me.eu/ev-catalog/2206/mercedes-benz-eqe-350-4matic-2024
515.0,17.3,89.0,10,7.3,66402,Nemčija,2022,Mercedes-Benz,EQE 300,https://bestev4me.eu/ev-catalog/1713/mercedes-benz-eqe-300-2022
515.0,20.8,107.0,9,5.0,81590,Švedska,2022,Polestar,3 Long Range Dual motor,https://bestev4me.eu/ev-catalog/1758/polestar-3-long-range-dual-motor-2022
515.0,23.9,123.0,12,6.5,89790,Vietnam,2025,VinFast,VF 9 Extended Range,https://bestev4me.eu/ev-catalog/1811/vinfast-vf-9-extended-range-2025
525.0,17.3,90.6,8,6.4,70626,Nemčija,2022,Mercedes-Benz,EQE 350,https://bestev4me.eu/ev-catalog/1898/mercedes-benz-eqe-350-2022
515.0,18.9,97.2,9,7.8,61700,Francija,2026,DS,N°7 FWD Long Range,https://bestev4me.eu/ev-catalog/3624/ds-n7-fwd-long-range-2026
515.0,15.7,80.7,9,5.7,59200,Nemčija,2021,BMW,i4 eDrive40,https://bestev4me.eu/ev-catalog/1252/bmw-i4-edrive40-2021
515.0,15.8,81.3,8,5.6,60500,Nemčija,2024,BMW,i4 eDrive40,https://bestev4me.eu/ev-catalog/2199/bmw-i4-edrive40-2024
515.0,18.4,95.0,11,2.8,96990,ZDA,2019,Tesla,Model S Performance,https://bestev4me.eu/ev-catalog/1207/tesla-model-s-performance-2019
515.0,17.6,90.6,8,5.9,74149,Nemčija,2025,Mercedes-Benz,EQE 350 4MATIC,https://bestev4me.eu/ev-catalog/3241/mercedes-benz-eqe-350-4matic-2025
515.0,15.3,79.0,8,3.4,59470,ZDA,2025,Tesla,Model 3 Performance,https://bestev4me.eu/ev-catalog/3332/tesla-model-3-performance-2025
515.0,21.8,112.4,9,4.5,395060,Združeno kraljestvo,2026,Rolls-Royce,Spectre Series II,https://bestev4me.eu/ev-catalog/3650/rolls-royce-spectre-series-ii-2026
510.0,19.0,97.0,5,3.8,126400,Nemčija,2024,Porsche,Taycan 4S Cross Turismo,https://bestev4me.eu/ev-catalog/2111/porsche-taycan-4s-cross-turismo-2024
525.0,17.3,90.6,8,6.4,70626,Nemčija,2022,Mercedes-Benz,EQE 350,https://bestev4me.eu/ev-catalog/1714/mercedes-benz-eqe-350-2022
510.0,19.9,101.7,9,4.7,139900,Nemčija,2022,BMW,i7 xDrive60,https://bestev4me.eu/ev-catalog/1676/bmw-i7-xdrive60-2022
510.0,15.3,78.0,10,7.7,47140,Južna Koreja,2025,Kia,EV4 Fastback 81.4 kWh,https://bestev4me.eu/ev-catalog/3122/kia-ev4-fastback-814-kwh-2025
510.0,17.5,89.0,10,6.3,74149,Nemčija,2023,Mercedes-Benz,EQE 350 4MATIC,https://bestev4me.eu/ev-catalog/1899/mercedes-benz-eqe-350-4matic-2023
510.0,19.0,97.0,5,4.7,113100,Nemčija,2024,Porsche,Taycan 4 Cross Turismo,https://bestev4me.eu/ev-catalog/2110/porsche-taycan-4-cross-turismo-2024
510.0,19.0,97.0,5,3.7,127322,Nemčija,2024,Porsche,Taycan 4S Plus Sport Turismo,https://bestev4me.eu/ev-catalog/2107/porsche-taycan-4s-plus-sport-turismo-2024
510.0,18.6,94.9,7,6.6,71200,Nemčija,2024,Audi,Q6 Sportback e-tron performance,https://bestev4me.eu/ev-catalog/3042/audi-q6-sportback-e-tron-performance-2024
505.0,21.2,107.0,10,5.9,91700,Švedska,2022,Volvo,EX90 Twin Motor,https://bestev4me.eu/ev-catalog/1775/volvo-ex90-twin-motor-2022
505.0,15.4,78.0,10,7.7,43240,Južna Koreja,2026,Kia,EV4 Hatchback 81.4 kWh,https://bestev4me.eu/ev-catalog/3669/kia-ev4-hatchback-814-kwh-2026
505.0,19.2,97.0,5,2.4,210800,Nemčija,2024,Porsche,Taycan Turbo S Sport Turismo,https://bestev4me.eu/ev-catalog/2109/porsche-taycan-turbo-s-sport-turismo-2024
505.0,17.4,88.0,7,6.6,71990,Švedska,2025,Volvo,ES90 Single Motor,https://bestev4me.eu/ev-catalog/3128/volvo-es90-single-motor-2025
505.0,15.4,78.0,10,7.7,43240,Južna Koreja,2025,Kia,EV4 Hatchback 81.4 kWh,https://bestev4me.eu/ev-catalog/3124/kia-ev4-hatchback-814-kwh-2025
505.0,18.6,94.0,9,7.2,60950,Kitajska,2023,Zeekr,001 Long Range RWD,https://bestev4me.eu/ev-catalog/1933/zeekr-001-long-range-rwd-2023
505.0,17.9,90.6,8,4.4,84764,Nemčija,2025,Mercedes-Benz,EQE 500 4MATIC,https://bestev4me.eu/ev-catalog/3242/mercedes-benz-eqe-500-4matic-2025
505.0,17.9,90.6,9,6.3,73363,Nemčija,2022,Mercedes-Benz,EQE 350 4MATIC,https://bestev4me.eu/ev-catalog/1715/mercedes-benz-eqe-350-4matic-2022
505.0,21.0,106.0,10,5.6,87300,Nemčija,2022,Audi,Q8 SUV e-tron 55 quattro,https://bestev4me.eu/ev-catalog/1770/audi-q8-suv-e-tron-55-quattro-2022
505.0,17.9,90.6,9,4.7,87286,Nemčija,2022,Mercedes-Benz,EQE 500 4MATIC,https://bestev4me.eu/ev-catalog/1716/mercedes-benz-eqe-500-4matic-2022
505.0,17.8,90.0,12,3.8,90900,Kitajska,2022,NIO,ET7 Long Range,https://bestev4me.eu/ev-catalog/1752/nio-et7-long-range-2022
505.0,17.9,90.6,8,4.7,88215,Nemčija,2024,Mercedes-Benz,EQE 500 4MATIC,https://bestev4me.eu/ev-catalog/2207/mercedes-benz-eqe-500-4matic-2024
505.0,21.0,106.0,7,9.4,68500,Južna Koreja,2025,Hyundai,IONIQ 9 Long Range RWD,https://bestev4me.eu/ev-catalog/3067/hyundai-ioniq-9-long-range-rwd-2025
505.0,19.2,97.0,5,3.3,148600,Nemčija,2024,Porsche,Taycan GTS Sport Turismo,https://bestev4me.eu/ev-catalog/3063/porsche-taycan-gts-sport-turismo-2024
505.0,20.2,102.0,7,4.7,87900,Švedska,2025,Polestar,3 Dual Motor,https://bestev4me.eu/ev-catalog/3327/polestar-3-dual-motor-2025
